Code,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth,Date,region,SST
589,8.5628,10.3934,2.3068,1.8489,11.3829,12.9814,6.406,0.5462,0.8035,1.38,2.5194,0.7903,0.5922,2017-09-11,NJ,19.5
590,7.6312,9.1024,2.0442,1.6869,8.7395,11.0076,5.5183,0.5102,0.6111,1.1078,1.7604,0.7052,0.6583,2017-09-11,NJ,19.5
591,7.7267,8.818,1.8766,1.6022,7.5372,10.4063,5.2996,0.5347,0.5674,1.0872,1.1106,0.4432,0.7328,2017-09-11,NJ,19.5
592,8.6928,10.7526,2.3069,1.8649,11.6288,13.4969,5.6226,0.5303,0.8019,1.5494,3.1461,0.8449,0.6501,2017-09-11,NJ,19.5
593,11.0329,14.169,3.3653,2.7454,18.0586,27.6503,10.2125,0.8201,0.8656,1.5429,3.4842,0.9369,0.7613,2017-09-11,NJ,19.5
594,8.9702,11.3449,2.3886,1.9375,12.1115,15.6004,7.1624,0.5521,0.7242,1.2003,2.158,1.1842,0.8578,2017-09-11,NJ,19.5
595,6.1054,7.2885,1.7216,1.4771,5.556,7.6206,3.5402,0.4048,0.5481,0.7123,0.8994,0.8479,0.5051,2017-09-11,NJ,19.5
596,8.3,10.2464,2.0706,1.744,10.3659,13.2261,6.5231,0.5196,0.7819,1.1423,1.969,0.9618,0.6282,2017-09-11,NJ,19.5
597,6.8411,8.5266,2.1183,1.6403,8.1825,10.1011,5.5754,0.498,0.6315,1.0144,1.8332,0.8664,0.4376,2017-09-11,NJ,19.5
598,7.935,9.6354,2.0678,1.7378,7.8436,11.1743,5.183,0.5459,0.575,0.983,1.3848,0.9284,0.4122,2017-09-11,NJ,19.5
599,7.7414,9.6255,2.1467,1.9078,8.1884,11.8501,5.0521,0.5512,0.5881,0.8828,1.5104,0.771,0.5197,2017-09-11,NJ,19.5
600,7.0746,7.6613,2.0272,1.7058,5.865,9.6371,4.4351,0.4246,0.4515,0.7985,0.7363,0.7921,0.5146,2017-09-11,NJ,19.5
601,7.3493,9.0725,2.1157,1.4458,7.7548,10.559,5.1753,0.5066,0.6631,1.0001,1.2951,0.8241,0.5537,2017-09-11,NJ,19.5
602,8.2693,10.0637,2.2223,1.8719,10.969,12.4119,6.7522,0.6155,0.7709,1.0665,1.7293,1.0533,0.6422,2017-09-11,NJ,19.5
603,6.2284,7.5318,1.8104,1.5242,5.7063,7.6549,3.4226,0.4825,0.6057,0.8382,1.1851,0.8851,0.4703,2017-09-11,NJ,19.5
604,6.2965,7.7059,1.7436,1.4647,5.7423,7.5359,3.7536,0.4737,0.5061,0.906,0.9909,0.8136,0.5336,2017-09-11,NJ,19.5
605,7.813,8.5333,2.2385,1.7595,6.7365,10.7684,4.6427,0.6199,0.4949,0.6543,0.8936,0.6783,0.5,2017-09-11,NJ,19.5
606,8.3488,10.2576,2.2586,1.9179,11.657,12.6502,6.6322,0.5726,0.6668,1.2788,2.3521,0.8576,0.632,2017-09-11,NJ,19.5
607,9.7793,12.0968,2.5397,2.1486,14.0631,17.7875,7.7343,0.6208,0.7329,1.5079,3.8262,1.1047,0.756,2017-09-11,NJ,19.5
608,9.7871,12.3577,2.8017,2.2947,13.5789,19.844,8.7939,0.628,0.8362,1.2831,2.4636,1.281,0.7095,2017-09-11,NJ,19.5
609,8.62,10.9552,2.5017,2.1361,11.1195,14.6042,7.191,0.6377,0.8432,1.1757,2.4604,1.1856,0.6777,2017-09-11,NJ,19.5
610,7.9977,9.5509,2.2061,1.9872,9.4053,12.3716,5.9865,0.6112,0.6904,0.933,1.3225,0.9487,0.4999,2017-09-11,NJ,19.5
611,8.1265,10.2519,2.394,1.9152,10.4696,13.7318,6.8811,0.6343,0.8735,1.1793,2.0268,1.1273,0.609,2017-09-11,NJ,19.5
612,9.3615,11.815,2.7292,2.0897,12.8632,17.607,7.6894,0.5797,0.6188,1.3754,2.4459,1.1684,0.7962,2017-09-11,NJ,19.5
613,11.5408,14.7726,3.3998,2.7038,20.3561,28.3298,11.3233,0.8035,0.7847,1.6458,4.8025,1.3902,0.9487,2017-09-11,NJ,19.5
614,9.5141,12.1136,2.8309,2.0531,12.6645,20.9184,6.9782,0.6587,0.8104,1.2757,2.958,1.2111,0.5699,2017-09-21,NJ,23.1
615,8.144,9.8436,2.1217,1.7923,10.7315,12.5893,6.3691,0.5422,0.7686,1.0685,2.0163,1.1511,0.4768,2017-09-21,NJ,23.1
616,10.1495,12.8101,3.0229,2.5758,17.7232,24.1031,10.7523,0.733,0.915,1.4681,3.3998,1.3169,0.8017,2017-09-21,NJ,23.1
617,9.359,11.4739,2.6083,2.0355,13.29,19.9939,8.1224,0.6558,0.8917,1.3714,2.6389,1.3219,0.7923,2017-09-21,NJ,23.1
618,10.1984,12.8648,2.8454,2.4789,16.5421,20.242,9.9715,0.6999,0.9005,1.2919,3.0614,1.3387,0.8379,2017-09-21,NJ,23.1
619,6.6949,8.4079,1.8792,1.5903,6.3994,8.3456,4.3597,0.5257,0.5589,0.8731,1.391,0.8466,0.4011,2017-09-21,NJ,23.1
