n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter
135,14.0854,17.2386,3.9584,2.7238,26.9309,17.356,40.5437,1.179,1.6624,4.7087,,,0.9541
136,,,,,,,,,,,0.8909,1.1459,
137,12.1326,15.6403,3.5915,2.6087,26.5751,14.9441,30.6317,1.1386,1.9004,6.0626,,,0.9985
138,,,,,,,,,,,0.8466,1.0629,
139,10.8886,14.3551,3.4937,2.2139,19.7925,12.4894,25.5238,0.9019,1.3767,2.8279,,,0.8517
140,,,,,,,,,,,0.8849,0.7376,
141,4.906,6.0817,1.3093,0.8449,3.1934,2.0025,4.3375,0.3165,0.6184,0.5953,,,0.4336
142,,,,,,,,,,,0.3067,0.4101,
143,5.911,6.0988,1.6154,1.1332,4.5469,3.5681,7.4022,0.664,0.6203,0.2003,,,0.4636
144,,,,,,,,,,,0.476,0.5318,
145,11.9677,14.6715,3.3027,2.4043,18.7401,12.2411,30.4508,1.1214,1.38,2.3647,,,0.8338
146,,,,,,,,,,,0.6802,1.279,
147,10.3775,12.9444,2.7758,2.0419,14.3941,9.757,20.6977,0.8225,1.2563,2.3325,,,0.7904
148,,,,,,,,,,,0.6326,0.8909,
149,13.9385,17.7288,3.7306,2.5162,23.8296,14.8645,38.1533,1.1118,1.6469,4.3126,,,0.97
150,,,,,,,,,,,0.9478,1.2457,
151,11.0001,13.879,3.1996,2.339,19.0729,12.7165,25.5308,0.8902,0.9448,2.9745,,,0.822
152,,,,,,,,,,,0.7105,0.9528,
153,12.8733,16.9893,3.9826,2.5468,25.7853,16.5574,35.0556,0.9944,1.4932,4.1303,,,1.0524
154,,,,,,,,,,,0.7012,1.0244,
155,12.81,16.2462,3.3988,2.4292,23.4197,15.2558,31.3721,1.0316,1.454,3.6114,,,0.9547
156,,,,,,,,,,,0.6113,1.0571,
157,12.0242,15.0738,3.2919,2.2666,19.6043,11.7795,27.9233,0.9198,1.5181,3.3873,,,0.802
158,,,,,,,,,,,0.6368,0.7706,
159,13.3725,17.2722,3.4793,2.3874,26.8168,14.619,33.4757,1.1266,1.865,6.3331,,,1.0185
160,,,,,,,,,,,0.7697,1.3373,
161,12.5069,15.4652,3.4212,2.6089,21.8866,15.5299,31.368,1.0554,1.4423,3.3163,,,0.9007
162,,,,,,,,,,,0.8245,1.0986,
163,9.3502,11.3304,2.7249,1.7843,12.1733,9.0371,17.7492,0.8708,1.1528,1.5314,,,0.6856
164,,,,,,,,,,,0.5838,0.9602,
165,10.7118,12.9009,2.7637,1.9808,16.087,10.233,22.1826,0.7748,1.2564,2.6394,,,0.8062
166,,,,,,,,,,,0.5958,0.9671,
167,12.4902,15.7415,3.1947,2.1859,19.308,12.0824,31.392,1.1633,1.508,2.8868,,,0.8684
168,,,,,,,,,,,0.4105,0.8695,
169,6.9173,8.3345,1.6571,1.1858,6.5095,4.242,9.0916,0.6537,0.9524,0.9208,,,0.4903
170,,,,,,,,,,,0.4334,0.7021,
171,8.2836,9.9609,2.038,1.5203,9.2639,6.1289,13.0431,0.7656,1.1827,1.2417,,,0.5144
172,,,,,,,,,,,0.3338,0.7254,
173,8.4372,10.4415,2.1508,1.6093,9.088,5.6923,13.2106,0.6537,0.9007,1.621,,,0.6007
174,,,,,,,,,,,0.4873,0.8544,
175,5.5363,6.3374,1.6026,1.0019,4.2526,3.1702,6.809,0.6773,0.7533,0.5448,,,0.5092
176,,,,,,,,,,,0.5145,0.615,
177,13.6634,18.1379,3.7712,2.8783,33.405,18.4484,36.1619,1.3108,2.2268,8.752,,,1.0148
178,,,,,,,,,,,0.7139,1.224,
179,13.889,17.3014,3.6349,2.5421,29.4373,15.0173,33.9249,1.0214,1.9678,7.2496,,,1.1017
180,,,,,,,,,,,0.6709,0.9902,
181,12.3777,14.7252,3.2858,2.5509,20.4965,13.5161,28.7086,0.9595,1.4452,2.8731,,,0.8678
182,,,,,,,,,,,0.4612,1.0459,
183,12.9239,15.9234,3.3692,2.6089,26.3932,15.3994,28.8323,0.8678,2.0055,6.7745,,,0.8805
184,,,,,,,,,,,0.573,1.0321,
185,9.6904,11.808,2.5674,1.8742,14.124,9.1819,17.6527,0.7708,1.2539,1.9899,,,0.7498
186,,,,,,,,,,,0.4984,0.9296,
187,8.0605,10.3679,2.1231,1.4378,10.2197,6.6494,13.0547,0.7087,1.1224,2.0092,,,0.6204
188,,,,,,,,,,,0.5087,0.9146,
189,10.0747,12.8083,2.6072,1.9467,15.6852,9.4909,18.8721,0.8432,1.4865,3.5778,,,0.7439
190,,,,,,,,,,,0.4873,1.0654,
191,7.4948,9.4353,1.9549,1.2541,7.4032,5.0238,11.1166,0.6593,1.0652,1.0332,,,0.5336
192,,,,,,,,,,,0.516,0.7914,
193,10.7827,13.5939,2.8495,2.1081,14.8636,9.6147,21.3229,0.8473,1.0192,2.15,,,0.7339
194,,,,,,,,,,,0.4984,0.8167,
